number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
16,0.9965387731055306,2026-08-11 11:14:23.992996,2026-08-11 11:14:25.420696,0 days 00:00:01.427700,0.6006091477747284,2.3891287001945343,0.124988710010354,9,3,256,0.009866041565514957,1.680786546195353e-05,0.88115327303305,COMPLETE
17,0.995764428566167,2026-08-11 11:14:25.420696,2026-08-11 11:14:26.865426,0 days 00:00:01.444730,0.8424463618556588,3.132394567758081,0.03790790317220389,7,1,203,2.1219899323605756e-08,8.21825253745345,0.774439933428912,COMPLETE
18,0.9963547995139733,2026-08-11 11:14:26.865426,2026-08-11 11:14:29.084883,0 days 00:00:02.219457,0.6442893651910143,1.492792396653035,0.01844482500231796,10,3,287,4.49295759936952e-05,0.018775904144880038,0.8366070683982902,COMPLETE
19,0.9962803373476228,2026-08-11 11:14:29.084883,2026-08-11 11:14:30.926491,0 days 00:00:01.841608,0.8170309282184145,0.37077316969013996,0.13725189056131143,8,4,240,0.007672831595264468,0.0012101025585844918,0.6994450361317315,COMPLETE
20,0.9962069600441907,2026-08-11 11:14:30.926491,2026-08-11 11:14:32.985705,0 days 00:00:02.059214,0.7239253393947189,4.64051434116436,0.01680798135523983,9,1,311,1.0929728418573227e-06,0.08644742226801697,0.9614035607563236,COMPLETE
21,0.9963917525773196,2026-08-11 11:14:32.985705,2026-08-11 11:14:35.251974,0 days 00:00:02.266269,0.657577999535703,2.1498727945817766,0.0308974406987222,10,1,274,0.0009219097386463256,8.066487486769539e-05,0.7692419682225969,COMPLETE
22,0.9965020803416915,2026-08-11 11:14:35.252974,2026-08-11 11:14:37.532320,0 days 00:00:02.279346,0.6962831044441021,2.0728920161586095,0.03686274807234886,10,2,246,9.64457285223541e-05,1.938418664214207e-05,0.800800233135748,COMPLETE
23,0.9964646092656699,2026-08-11 11:14:37.532320,2026-08-11 11:14:39.692277,0 days 00:00:02.159957,0.6495852955909714,3.220363803988691,0.022694767645147204,9,1,267,0.007759968747625457,3.361709829584109e-05,0.7113614743891595,COMPLETE
24,0.996207518686255,2026-08-11 11:14:39.692277,2026-08-11 11:14:41.678303,0 days 00:00:01.986026,0.7201712179989437,1.3349298580778495,0.016252982006874417,10,2,215,0.0019294110565580363,0.0005539202839193354,0.8453421568016348,COMPLETE
25,0.99650182273447,2026-08-11 11:14:41.678303,2026-08-11 11:14:44.004130,0 days 00:00:02.325827,0.6366145260879494,0.5325886354744149,0.12005983130531364,9,3,315,0.04385401905260939,0.006653758380106236,0.7853835073841119,COMPLETE
26,0.9964279138280243,2026-08-11 11:14:44.004130,2026-08-11 11:14:46.699684,0 days 00:00:02.695554,0.6836850553115377,1.7467322761405737,0.04836764636797217,8,1,381,0.00017648932317341085,4.388414767769756e-06,0.6763793653746358,COMPLETE
27,0.9965387731055306,2026-08-11 11:14:46.699684,2026-08-11 11:14:49.047575,0 days 00:00:02.347891,0.7322378883717899,2.6031624718472535,0.03561524483289909,10,2,289,1.0314296180189605e-05,0.00014281654501740323,0.752332425595528,COMPLETE
28,0.9963906894519741,2026-08-11 11:14:49.047575,2026-08-11 11:14:53.219760,0 days 00:00:04.172185,0.799853493032687,1.1457735668872924,0.021330562841868204,7,4,595,0.00044516042660168773,3.668116183096266e-08,0.8095877665619184,COMPLETE
29,0.9965757207555507,2026-08-11 11:14:53.221768,2026-08-11 11:14:56.062716,0 days 00:00:02.840948,0.6185679691499265,0.6334893261358053,0.06826895633473602,9,1,348,0.023491647472418897,0.0025244715620066035,0.6607739259595657,COMPLETE
30,0.9963906894519741,2026-08-11 11:14:56.062716,2026-08-11 11:14:57.537791,0 days 00:00:01.475075,0.6313152659363134,3.618743387039345,0.09891699835479904,10,3,230,0.0027606799400197364,0.04539788998598264,0.928105658304223,COMPLETE
31,0.996539282821589,2026-08-11 11:14:57.539169,2026-08-11 11:15:00.343441,0 days 00:00:02.804272,0.6008443885836467,0.6175379600098968,0.06262132881989642,9,1,347,0.1390619535074652,0.0017928582141658264,0.7180489008346633,COMPLETE
32,0.9965759729023231,2026-08-11 11:15:00.343441,2026-08-11 11:15:02.964252,0 days 00:00:02.620811,0.6666752856246185,0.35090120996345486,0.16308733916834137,10,2,321,0.02634661620288407,0.005850443494561874,0.6618931474453762,COMPLETE
33,0.9966486207785512,2026-08-11 11:15:02.964252,2026-08-11 11:15:05.580609,0 days 00:00:02.616357,0.6704170095429418,0.27899092701267264,0.15909901589732403,10,2,309,0.2065489402076621,0.006884597507895862,0.6520469716981617,COMPLETE
